id,name,fling_power,fling_effect_id,effect
662,xtransceiver,,,"Makes four-way video calls.  Used for plot advancement in-game, but also works with other players via the C-Gear."
663,god-stone,,,Unknown.  Currently unused.
664,gram-1,,,"Give to the []{pokemon:wingull} on []{location:unova-route-13}, along with []{item:gram-2} and []{item:gram-3}, to receive []{item:tm89}."
665,gram-2,,,"Give to the []{pokemon:wingull} on []{location:unova-route-13}, along with []{item:gram-1} and []{item:gram-3}, to receive []{item:tm89}."
666,gram-3,,,"Give to the []{pokemon:wingull} on []{location:unova-route-13}, along with []{item:gram-1} and []{item:gram-2}, to receive []{item:tm89}."
668,dragon-gem,,,"Held
:   When the holder uses a damaging []{type:dragon}-type move, the move has 1.5× power and this item is consumed."
669,normal-gem,,,"Held
:   When the holder uses a damaging []{type:normal}-type move, the move has 1.5× power and this item is consumed."
670,medal-box,,,
671,dna-splicers,,,
673,permit,,,
674,oval-charm,,,
675,shiny-charm,,,
676,plasma-card,,,
677,grubby-hanky,,,
678,colress-machine,,,
679,dropped-item,,,
681,reveal-glass,,,
682,weakness-policy,80,,"Held: When the holder is hit by a super effective move, its Attack and Special Attack raise by two stages."
683,assault-vest,80,,Raises the holder's Special Defense to 1.5×.  Prevents the holder from selecting a status move.
684,pixie-plate,90,,Held: Fairy-Type moves from holder do 20% more damage. Changes Arceus's and Judgment's type to Fairy.
685,ability-capsule,,,Switches a Pokémon between its two possible (non-Hidden) Abilities.
686,whipped-dream,80,,Traded on a Swirlix: Holder evolves into Slurpuff.
687,sachet,80,,Traded on a Spritzee: Holder evolves into Aromatisse.
688,luminous-moss,30,,"Held: If the holder is hit by a damaging Water move, it consumes this item and raises its Special Defense by one stage."
689,snowball,30,,"Held: If the holder is hit by a damaging Ice move, raises its Attack by one stage."
690,safety-goggles,80,,Held: Prevents damage from powder moves and the damage from Hail and Sandstorm.
691,rich-mulch,30,,Increases the total number of Berries by 2.
692,surprise-mulch,30,,Increases the chance of Berry mutation.
693,boost-mulch,30,,Causes soil to dry out in 4 hours.
694,amaze-mulch,30,,"Increases the total number of Berries by 2, increases the chance of Berry mutation, and causes soil to dry out in 4 hours."
695,gengarite,80,,Held: Allows Gengar to Mega Evolve into Mega Gengar.
696,gardevoirite,80,,Held: Allows Gardevoir to Mega Evolve into Mega Gardevoir.
697,ampharosite,80,,Held: Allows Ampharos to Mega Evolve into Mega Ampharos.
698,venusaurite,80,,Held: Allows Venusaur to Mega Evolve into Mega Venusaur.
699,charizardite-x,80,,Held: Allows Charizard to Mega Evolve into Mega Charizard X.
700,blastoisinite,80,,Held: Allows Blastoise to Mega Evolve into Mega Blastoise.
701,mewtwonite-x,80,,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo X.
702,mewtwonite-y,80,,Held: Allows Mewtwo to Mega Evolve into Mega Mewtwo Y.
703,blazikenite,80,,Held: Allows Blaziken to Mega Evolve into Mega Blaziken.
704,medichamite,80,,Held: Allows Medicham to Mega Evolve into Mega Medicham.
705,houndoominite,80,,Held: Allows Houndoom to Mega Evolve into Mega Houndoom.
706,aggronite,80,,Held: Allows Aggron to Mega Evolve into Mega Aggron.
707,banettite,80,,Held: Allows Banette to Mega Evolve into Mega Banette.
708,tyranitarite,80,,Held: Allows Tyranitar to Mega Evolve into Mega Tyranitar.
709,scizorite,80,,Held: Allows Scizor to Mega Evolve into Mega Scizor.
710,pinsirite,80,,Held: Allows Pinsir to Mega Evolve into Mega Pinsir.
711,aerodactylite,80,,Held: Allows Aerodactyl to Mega Evolve into Mega Aerodactyl.
712,lucarionite,80,,Held: Allows Lucario to Mega Evolve into Mega Lucario.
713,abomasite,80,,Held: Allows Abomasnow to Mega Evolve into Mega Abomasnow.
714,kangaskhanite,80,,Held: Allows Kangaskhan to Mega Evolve into Mega Kangaskhan.
715,gyaradosite,80,,Held: Allows Gyarados to Mega Evolve into Mega Gyarados.
716,absolite,80,,Held: Allows Absol to Mega Evolve into Mega Absol.
717,charizardite-y,80,,Held: Allows Charizard to Mega Evolve into Mega Charizard Y.
718,alakazite,80,,Held: Allows Alakazam to Mega Evolve into Mega Alakazam.
719,heracronite,80,,Held: Allows Heracross to Mega Evolve into Mega Heracross.
720,mawilite,80,,Held: Allows Mawile to Mega Evolve into Mega Mawile.
721,manectite,80,,Held: Allows Manectric to Mega Evolve into Mega Manectric.
722,garchompite,80,,Held: Allows Garchomp to Mega Evolve into Mega Garchomp.
723,roseli-berry,10,,Held: Consumed when struck by a super-effective Fairy-type attack to halve the damage.
724,kee-berry,10,3,"Held: When the holder is hit by a physical move, increases its Defense by one stage."
725,maranga-berry,10,3,"Held: When the holder is hit by a special move, increases its Special Defense by one stage."
726,discount-coupon,10,,Can be used at a boutique for a 50% discount.  Consumed once used.
727,strange-souvenir,30,,Vendor trash.
728,lumiose-galette,30,,Cures all major status ailments and confusion.
729,jaw-fossil,100,,Can be revived into a Tyrunt.
730,sail-fossil,100,,Can be revived into an Amaura.
731,fairy-gem,,,"Held: When the holder uses a damaging Fairy move, the move has 1.5× power and this item is consumed."
732,adventure-rules,,,Contains basic gameplay information.
733,elevator-key,,,Unlocks the elevator in Lysandre Labs.
734,holo-caster,,,Displays cutscene conversations as the plot advances.
735,honor-of-kalos,,,"Does nothing, but signifies becoming Champion."
736,intriguing-stone,,,"Trade for a Sun Stone in X and Y, or Pidgeotite in Omega Ruby and Alpha Sapphire."
737,lens-case,,,Allows the player to change their eye color.
738,looker-ticket,,,Advances the Looker postgame plot.
739,mega-ring,,,Allows the player's Pokémon to Mega Evolve.
740,power-plant-pass,,,Permits entry to the Kalos Power Plant.
741,profs-letter,,,Traded to the player's mom for the Town Map and a Potion.
742,roller-skates,,,Allows the player to move quickly and off the grid.
743,sprinklotad,,,Waters Berry plants.
744,tmv-pass,,,Permits access to Kiloude City.
745,tm96,,,Teaches a Pokémon TM96.
746,tm97,,,Teaches a Pokémon TM97.
747,tm98,,,Teaches a Pokémon TM98.
748,tm99,,,Teaches a Pokémon TM99.
749,tm100,,,Teaches a Pokémon TM100.
760,latiasite,80,,Held: Allows Latias to Mega Evolve into Mega Latias.
761,latiosite,80,,Held: Allows Latios to Mega Evolve into Mega Latios.
762,common-stone,,,Unknown.
763,makeup-bag,,,Allows the player to change their lipstick color.
764,travel-trunk,,,"Unobtainable, but allows the player to change clothes anywhere."
765,shalour-sable,30,,Cures any major status ailment and confusion.
768,mega-charm,,,"Unused.  This appears as the girlplayer's Mega Bracelet in Pokémon Contests, but it cannot actually be obtained."
769,mega-glove,,,"Unused.  This is Korrina's Key Stone in X and Y, but it cannot be obtained by the player."
770,devon-parts,,,Allows Captain Stern to set out on his expedition.
772,pokeblock-kit,,,Creates and stores Pokéblocks.
773,key-to-room-1,,,Unlocks the door to Room 1 in Sea Mauville.
774,key-to-room-2,,,Unlocks the door to Room 2 in Sea Mauville.
775,key-to-room-4,,,Unlocks the door to Room 4 in Sea Mauville.
776,key-to-room-6,,,Unlocks the door to Room 6 in Sea Mauville.
779,devon-scuba-gear,,,Worn by the player while underwater via Dive in Omega Ruby and Alpha Sapphire.
780,contest-costume--jacket,,,Worn during Pokémon Contests.
782,magma-suit,,,Allows the player to ride Groudon in the Cave of Origin.
783,aqua-suit,,,Allows the player to ride Kyogre in the Cave of Origin.
784,pair-of-tickets,,,Allows the player and their mother to see the star show in the Mossdeep Space Center.
785,mega-bracelet,,,Allows the player's Pokémon to Mega Evolve.
786,mega-pendant,,,"Unused.  This is Wally's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
787,mega-glasses,,,"Unused.  This is Maxie's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
788,mega-anchor,,,"Unused.  This is Archie's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
789,mega-stickpin,,,"Unused.  This is Steven's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
790,mega-tiara,,,"Unused.  This is Lisia's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
791,mega-anklet,,,"Unused.  This is Zinnia's Key Stone in Omega Ruby and Alpha Sapphire, but it cannot be obtained by the player."
793,swampertite,80,,Held: Allows Swampert to Mega Evolve into Mega Swampert.
794,sceptilite,80,,Held: Allows Sceptile to Mega Evolve into Mega Sceptile.
795,sablenite,80,,Held: Allows Sableye to Mega Evolve into Mega Sableye.
796,altarianite,80,,Held: Allows Altaria to Mega Evolve into Mega Altaria.
797,galladite,80,,Held: Allows Gallade to Mega Evolve into Mega Gallade.
798,audinite,80,,Held: Allows Audino to Mega Evolve into Mega Audino.
799,metagrossite,80,,Held: Allows Metagross to Mega Evolve into Mega Metagross.
800,sharpedonite,80,,Held: Allows Sharpedo to Mega Evolve into Mega Sharpedo.
801,slowbronite,80,,Held: Allows Slowbro to Mega Evolve into Mega Slowbro.
802,steelixite,80,,Held: Allows Steelix to Mega Evolve into Mega Steelix.
803,pidgeotite,80,,Held: Allows Pidgeot to Mega Evolve into Mega Pidgeot.
804,glalitite,80,,Held: Allows Glalie to Mega Evolve into Mega Glalie.
805,diancite,80,,Held: Allows Diancie to Mega Evolve into Mega Diancie.
806,prison-bottle,,,Transforms Hoopa into its Unbound form for up to three days.
807,mega-cuff,,,"Unused.  This appears as the boy player's Mega Bracelet in Pokémon Contests, but it cannot actually be obtained."
808,cameruptite,80,,Held: Allows Camerupt to Mega Evolve into Mega Camerupt.
809,lopunnite,80,,Held: Allows Lopunny to Mega Evolve into Mega Lopunny.
810,salamencite,80,,Held: Allows Salamence to Mega Evolve into Mega Salamence.
811,beedrillite,80,,Held: Allows Beedrill to Mega Evolve into Mega Beedrill.
814,key-stone,,,Allows the player's Pokémon to Mega Evolve.
815,meteorite-shard,,,"Causes the Meteorite to transform to its final form, allowing Rayquaza to Mega Evolve."
816,eon-flute,,,Summons Latias or Latios for a ride.
817,normalium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Normal moves.
818,firium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Fire moves.
819,waterium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Water moves.
820,electrium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Electric moves.
821,grassium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Grass moves.
822,icium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Ice moves.
823,fightinium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Fighting moves.
824,poisonium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Poison moves.
825,groundium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Ground moves.
826,flyinium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Flying moves.
827,psychium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Psychic moves.
828,buginium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Bug moves.
829,rockium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Rock moves.
830,ghostium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Ghost moves.
831,dragonium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Dragon moves.
832,darkinium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Dark moves.
833,steelium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Steel moves.
834,fairium-z--held,,,Held: Allows a Pokémon to use the Z-move equivalents of its Fairy moves.
835,pikanium-z--held,,,Held: Allows []{pokemon:pikachu} to upgrade []{move:volt-tackle} into []{move:catastropika}.
836,bottle-cap,30,,Trade to Mr. Hyper to set one of a Pokémon's genes to 31.
837,gold-bottle-cap,30,,Trade to Mr. Hyper to set all of a Pokémon's genes to 31.
838,z-ring,,,Allows the player's Pokémon to use Z-moves.
839,decidium-z--held,,,Held: Allows []{pokemon:decidueye} to upgrade []{move:spirit-shackle} into []{move:sinister-arrow-raid}.
840,incinium-z--held,,,Held: Allows []{pokemon:incineroar} to upgrade []{move:darkest-lariat} into []{move:malicious-moonsault}.
841,primarium-z--held,,,Held: Allows []{pokemon:primarina} to upgrade []{move:sparkling-aria} into []{move:oceanic-operetta}.
842,tapunium-z--held,,,"Held: Allows []{pokemon:tapu-koko}, []{pokemon:tapu-lele}, []{pokemon:tapu-bulu}, and []{pokemon:tapu-fini} to upgrade []{move:natures-madness} into []{move:guardian-of-alola}."
843,marshadium-z--held,,,Held: Allows []{pokemon:marshadow} to upgrade []{move:spectral-thief} into []{move:soul-stealing-7-star-strike}.
844,aloraichium-z--held,,,Held: Allows Alola []{pokemon:raichu} to upgrade []{move:thunderbolt} into []{move:stoked-sparksurfer}.
845,snorlium-z--held,,,Held: Allows []{pokemon:snorlax} to upgrade []{move:giga-impact} into []{move:pulverizing-pancake}.
846,eevium-z--held,,,Held: Allows []{pokemon:eevee} to upgrade []{move:last-resort} into []{move:extreme-evoboost}.
847,mewnium-z--held,,,Held: Allows []{pokemon:mew} to upgrade []{move:psychic} into []{move:genesis-supernova}.
877,pikashunium-z--held,,,Held: Allows cap-wearing []{pokemon:pikachu} to upgrade []{move:thunderbolt} into []{move:10-000-000-volt-thunderbolt}.
878,forage-bag,,,Holds ingredients during Mallow's trial.
879,fishing-rod,,,Allows the player to fish for Pokémon.
880,professors-mask,,,Lost by Professor Kukui.
881,festival-ticket,,,Hosts a mission in Festival Plaza.
882,sparkling-stone,,,Required to obtain a Z-Ring.
883,adrenaline-orb,30,,Makes wild Pokémon more likely to summon allies.  Held: increases the holder's Speed by one stage when affected by Intimidate.
884,zygarde-cube,,,Contains collected Zygarde cells/cores.  Can teach Zygarde moves.
885,ice-stone,30,,"Used on a party Pokémon
:   Evolves an Alola []{pokemon:sandshrew} into Alola []{pokemon:sandslash} or an Alola []{pokemon:vulpix} into Alola []{pokemon:ninetales}."
886,ride-pager,,,"Allows the player to summon a Ride Pokémon.  Unused, as this can be done simply by pressing Y."
887,beast-ball,,,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon is an Ultra Beast, this ball has a catch rate of 5×.  Otherwise, it has a catch rate of 0.1×.

    If used in a trainer battle, nothing happens and the ball is lost."
888,big-malasada,30,,Cures major status ailments and confusion.
889,red-nectar,10,,Changes Oricorio to Baile Style.  Single-use and cannot be used in battle.
890,yellow-nectar,10,,Changes Oricorio to Pom-Pom Style.  Single-use and cannot be used in battle.
891,pink-nectar,10,,Changes Oricorio to Pa’u Style.  Single-use and cannot be used in battle.
892,purple-nectar,10,,Changes Oricorio to Sensu Style.  Single-use and cannot be used in battle.
893,sun-flute,,,Evolves Nebby into Solgaleo when used at the Altar of the Sunne.
894,moon-flute,,,Evolves Nebby into Lunala when used at the Altar of the Moone.
895,enigmatic-card,,,Unlocks Looker's motel room on Route 8.
896,terrain-extender,60,,"Held: When the holder changes the Terrain (whether by move or ability), it will last  8 turns instead of 5."
897,protective-pads,30,,Held: Prevents side effects of contact moves used on the holder.
898,electric-seed,10,,"Held: If the holder enters battle during Electric Terrain, or if Electric Terrain is activated while the holder is in battle, this item is consumed and the holder's Defense raises by one stage."
899,psychic-seed,10,,"Held: If the holder enters battle during Psychic Terrain, or if Psychic Terrain is activated while the holder is in battle, this item is consumed and the holder's Special Defense raises by one stage."
900,misty-seed,10,,"Held: If the holder enters battle during Misty Terrain, or if Misty Terrain is activated while the holder is in battle, this item is consumed and the holder's Special Defense raises by one stage."
901,grassy-seed,10,,"Held: If the holder enters battle during Grassy Terrain, or if Grassy Terrain is activated while the holder is in battle, this item is consumed and the holder's Defense raises by one stage."
902,fighting-memory,50,,Held: Changes Silvally to its Fighting form.  Changes Multi-Attack's type to Fighting.
903,flying-memory,50,,Held: Changes Silvally to its Flying form.  Changes Multi-Attack's type to Flying.
904,poison-memory,50,,Held: Changes Silvally to its Poison form.  Changes Multi-Attack's type to Poison.
905,ground-memory,50,,Held: Changes Silvally to its Ground form.  Changes Multi-Attack's type to Ground.
906,rock-memory,50,,Held: Changes Silvally to its Rock form.  Changes Multi-Attack's type to Rock.
907,bug-memory,50,,Held: Changes Silvally to its Bug form.  Changes Multi-Attack's type to Bug.
908,ghost-memory,50,,Held: Changes Silvally to its Ghost form.  Changes Multi-Attack's type to Ghost.
909,steel-memory,50,,Held: Changes Silvally to its Steel form.  Changes Multi-Attack's type to Steel.
910,fire-memory,50,,Held: Changes Silvally to its Fire form.  Changes Multi-Attack's type to Fire.
911,water-memory,50,,Held: Changes Silvally to its Water form.  Changes Multi-Attack's type to Water.
912,grass-memory,50,,Held: Changes Silvally to its Grass form.  Changes Multi-Attack's type to Grass.
913,electric-memory,50,,Held: Changes Silvally to its Electric form.  Changes Multi-Attack's type to Electric.
914,psychic-memory,50,,Held: Changes Silvally to its Psychic form.  Changes Multi-Attack's type to Psychic.
915,ice-memory,50,,Held: Changes Silvally to its Ice form.  Changes Multi-Attack's type to Ice.
916,dragon-memory,50,,Held: Changes Silvally to its Dragon form.  Changes Multi-Attack's type to Dragon.
917,dark-memory,50,,Held: Changes Silvally to its Dark form.  Changes Multi-Attack's type to Dark.
918,fairy-memory,50,,Held: Changes Silvally to its Fairy form.  Changes Multi-Attack's type to Fairy.
919,bike--green,,,XXX new effect for bike--green
920,storage-key--galactic-warehouse,,,XXX new effect for storage-key--galactic-warehouse
921,basement-key--goldenrod,,,XXX new effect for basement-key--goldenrod
922,xtransceiver--red,,,XXX new effect for xtranceiver--red
923,xtransceiver--yellow,,,XXX new effect for xtranceiver--yellow
924,dna-splicers--merge,,,XXX new effect for dna-splicers--merge
925,dna-splicers--split,,,XXX new effect for dna-splicers--split
926,dropped-item--red,,,XXX new effect for dropped-item--red
927,dropped-item--yellow,,,XXX new effect for dropped-item--yellow
928,holo-caster--green,,,XXX new effect for holo-caster--green
929,bike--yellow,,,XXX new effect for bike--yellow
930,holo-caster--red,,,XXX new effect for holo-caster--red
931,basement-key--new-mauville,,,XXX new effect for basement-key--new-mauville
932,storage-key--sea-mauville,,,XXX new effect for storage-key--sea-mauville
933,ss-ticket--hoenn,,,XXX new effect for ss-ticket--hoenn
934,contest-costume--dress,,,XXX new effect for contest-costume--dress
935,meteorite--2,,,XXX new effect for meteorite--2
936,meteorite--3,,,XXX new effect for meteorite--3
937,meteorite--4,,,XXX new effect for meteorite--4
938,normalium-z--bag,,,XXX new effect for normalium-z--bag
939,firium-z--bag,,,XXX new effect for firium-z--bag
940,waterium-z--bag,,,XXX new effect for waterium-z--bag
941,electrium-z--bag,,,XXX new effect for electrium-z--bag
942,grassium-z--bag,,,XXX new effect for grassium-z--bag
943,icium-z--bag,,,XXX new effect for icium-z--bag
944,fightinium-z--bag,,,XXX new effect for fightinium-z--bag
945,poisonium-z--bag,,,XXX new effect for poisonium-z--bag
946,groundium-z--bag,,,XXX new effect for groundium-z--bag
947,flyinium-z--bag,,,XXX new effect for flyinium-z--bag
948,psychium-z--bag,,,XXX new effect for psychium-z--bag
949,buginium-z--bag,,,XXX new effect for buginium-z--bag
950,rockium-z--bag,,,XXX new effect for rockium-z--bag
951,ghostium-z--bag,,,XXX new effect for ghostium-z--bag
952,dragonium-z--bag,,,XXX new effect for dragonium-z--bag
953,darkinium-z--bag,,,XXX new effect for darkinium-z--bag
954,steelium-z--bag,,,XXX new effect for steelium-z--bag
955,fairium-z--bag,,,XXX new effect for fairium-z--bag
956,pikanium-z--bag,,,XXX new effect for pikanium-z--bag
957,decidium-z--bag,,,XXX new effect for decidium-z--bag
958,incinium-z--bag,,,XXX new effect for incinium-z--bag
959,primarium-z--bag,,,XXX new effect for primarium-z--bag
960,tapunium-z--bag,,,XXX new effect for tapunium-z--bag
961,marshadium-z--bag,,,XXX new effect for marshadium-z--bag
962,aloraichium-z--bag,,,XXX new effect for aloraichium-z--bag
963,snorlium-z--bag,,,XXX new effect for snorlium-z--bag
964,eevium-z--bag,,,XXX new effect for eevium-z--bag
965,mewnium-z--bag,,,XXX new effect for mewnium-z--bag
966,pikashunium-z--bag,,,XXX new effect for pikashunium-z--bag
967,solganium-z--held,,,XXX new effect for solganium-z--held
968,lunalium-z--held,,,XXX new effect for lunalium-z--held
969,ultranecrozium-z--held,,,XXX new effect for ultranecrozium-z--held
970,mimikium-z--held,,,XXX new effect for mimikium-z--held
971,lycanium-z--held,,,XXX new effect for lycanium-z--held
972,kommonium-z--held,,,XXX new effect for kommonium-z--held
973,solganium-z--bag,,,XXX new effect for solganium-z--bag
974,lunalium-z--bag,,,XXX new effect for lunalium-z--bag
975,ultranecrozium-z--bag,,,XXX new effect for ultranecrozium-z--bag
976,mimikium-z--bag,,,XXX new effect for mimikium-z--bag
977,lycanium-z--bag,,,XXX new effect for lycanium-z--bag
978,kommonium-z--bag,,,XXX new effect for kommonium-z--bag
979,z-power-ring,,,XXX new effect for z-power-ring
980,pink-petal,,,XXX new effect for pink-petal
981,orange-petal,,,XXX new effect for orange-petal
982,blue-petal,,,XXX new effect for blue-petal
983,red-petal,,,XXX new effect for red-petal
984,green-petal,,,XXX new effect for green-petal
985,yellow-petal,,,XXX new effect for yellow-petal
986,purple-petal,,,XXX new effect for purple-petal
987,rainbow-flower,,,XXX new effect for rainbow-flower
988,surge-badge,,,XXX new effect for surge-badge
989,n-solarizer--merge,,,XXX new effect for n-solarizer--merge
990,n-lunarizer--merge,,,XXX new effect for n-lunarizer--merge
991,n-solarizer--split,,,XXX new effect for n-solarizer--split
992,n-lunarizer--split,,,XXX new effect for n-lunarizer--split
993,ilimas-normalium-z,,,XXX new effect for ilimas-normalium-z
994,left-poke-ball,,,XXX new effect for left-poke-ball
995,roto-hatch,,,XXX new effect for roto-hatch
996,roto-bargain,,,XXX new effect for roto-bargain
997,roto-prize-money,,,XXX new effect for roto-prize-money
998,roto-exp-points,,,XXX new effect for roto-exp-points
999,roto-friendship,,,XXX new effect for roto-friendship
1000,roto-encounter,,,XXX new effect for roto-encounter
1001,roto-stealth,,,XXX new effect for roto-stealth
1002,roto-hp-restore,,,XXX new effect for roto-hp-restore
1003,roto-pp-restore,,,XXX new effect for roto-pp-restore
1004,roto-boost,,,XXX new effect for roto-boost
1005,roto-catch,,,XXX new effect for roto-catch
